IUCR_Codes,Primary_Type,Secondary_Type,Felony_Class,Severity
918,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE NO VIN",4,0.022222222
917,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",4,0.022222222
930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,4,0.022222222
935,MOTOR VEHICLE THEFT,"THEFT/RECOVERY: TRUCK,BUS,MHOME",4,0.022222222
915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",4,0.022222222
2090,NARCOTICS,ALTER/FORGE PRESCRIPTION,1,0.077777778
2091,NARCOTICS,FORFEIT PROPERTY,1,0.077777778
2093,NARCOTICS,FOUND SUSPECT NARCOTICS,1,0.077777778
1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,1,0.044444444
1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,1,0.088888889
2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),1,0.211111111
2013,NARCOTICS,MANU/DELIVER: HEROIN(BRN/TAN),1,0.222222222
2011,NARCOTICS,MANU/DELIVER:BARBITUATES,1,0.211111111
2012,NARCOTICS,MANU/DELIVER:COCAINE,1,0.4
2017,NARCOTICS,MANU/DELIVER:CRACK,1,0.4
2018,NARCOTICS,MANU/DELIVER:SYNTHETIC DRUGS,1,0.377777778
2020,NARCOTICS,POSS: AMPHETAMINES,1,0.211111111
2021,NARCOTICS,POSS: BARBITUATES,1,0.233333333
1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,1,0.044444444
1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,1,0.144444444
2022,NARCOTICS,POSS: COCAINE,1,0.222222222
2027,NARCOTICS,POSS: CRACK,1,0.222222222
2025,NARCOTICS,POSS: HALLUCINOGENS,1,0.222222222
2029,NARCOTICS,POSS: HEROIN(BLACK TAR),1,0.222222222
2023,NARCOTICS,POSS: HEROIN(BRN/TAN),1,0.222222222
2024,NARCOTICS,POSS: HEROIN(WHITE),1,0.388888889
2031,NARCOTICS,POSS: METHAMPHETAMINES,1,0.177777778
2026,NARCOTICS,POSS: PCP,1,0.233333333
2028,NARCOTICS,POSS: SYNTHETIC DRUGS,1,0.233333333
2170,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,1,0.044444444
2034,NARCOTICS,POSSESSION: SYNTHETIC MARIJUANA,1,0.044444444
2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,1,0.044444444
5114,NON-CRIMINAL,FOID - REVOCATION,4,0.111111111
5093,NON-CRIMINAL,LOST PASSPORT,4,0
1540,OBSCENITY,OBSCENE MATTER,4,0.022222222
1541,OBSCENITY,SALE/DIST OBSCENE MAT TO MINOR,4,0.022222222
1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,X,0.833333333
1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,X,0.833333333
1755,OFFENSE INVOLVING CHILDREN,CHILD ABANDONMENT,X,0.2
1790,OFFENSE INVOLVING CHILDREN,CHILD ABDUCTION,X,0.222222222
1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,X,0.833333333
1582,OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY,X,0.833333333
1720,OFFENSE INVOLVING CHILDREN,CONTRIBUTE DELINQUENCY OF A CHILD,X,0.833333333
1751,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,X,0.833333333
1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,X,0.222222222
1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,X,0.222222222
1753,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,X,0.833333333
500N,OTHER OFFENSE,ABUSE/NEGLECT: CARE FACILITY,4,0.222222222
501A,OTHER OFFENSE,ANIMAL ABUSE/NEGLECT,4,0.027777778
502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,4,0.016666667
5111,OTHER OFFENSE,GUN OFFENDER: ANNUAL REGISTRATION,4,0.016666667
5110,OTHER OFFENSE,GUN OFFENDER: DUTY TO REGISTER,4,0.022222222
2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,4,0.022222222
2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,4,0.011111111
5011,OTHER OFFENSE,LICENSE VIOLATION,4,0.022222222
2830,OTHER OFFENSE,OBSCENE TELEPHONE CALLS,4,0.011111111
5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,4,0.022222222
5001,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,4,0.022222222
5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,4,0.033333333
5007,OTHER OFFENSE,OTHER WEAPONS VIOLATION,4,0.044444444
4625,OTHER OFFENSE,PAROLE VIOLATION,4,0.044444444
4310,OTHER OFFENSE,POSSESSION OF BURGLARY TOOLS,4,0.055555556
4510,OTHER OFFENSE,PROBATION VIOLATION,4,0.022222222
4651,OTHER OFFENSE,SEX OFFENDER: FAIL REG NEW ADD,4,0.033333333
4650,OTHER OFFENSE,SEX OFFENDER: FAIL TO REGISTER,4,0.033333333
4652,OTHER OFFENSE,SEX OFFENDER: PROHIBITED ZONE,4,0.033333333
502T,OTHER OFFENSE,TAMPER WITH MOTOR VEHICLE,4,0.016666667
2820,OTHER OFFENSE,TELEPHONE THREAT,4,0.011111111
502R,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,4,0.011111111
4388,OTHER OFFENSE,VIO BAIL BOND: DOM VIOLENCE,4,0.022222222
4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,4,0.033333333
4389,OTHER OFFENSE,VIOLATION GPS MONITORING DEVICE,4,0.033333333
4386,OTHER OFFENSE,VIOLATION OF CIVIL NO CONTACT ORDER,4,0.033333333
5131,OTHER OFFENSE,VIOLENT OFFENDER: ANNUAL REGISTRATION,4,0.033333333
5130,OTHER OFFENSE,VIOLENT OFFENDER: DUTY TO REGISTER,4,0.022222222
1505,PROSTITUTION,CALL OPERATION,4,0.044444444
1512,PROSTITUTION,SOLICIT FOR PROSTITUTE,4,0.044444444
1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,4,0.055555556
1536,PUBLIC INDECENCY,LICENSED PREMISE,X,0.016666667
2851,PUBLIC PEACE VIOLATION,ARSON THREAT,4,0.016666667
2850,PUBLIC PEACE VIOLATION,BOMB THREAT,4,0.016666667
2840,PUBLIC PEACE VIOLATION,FALSE FIRE ALARM,4,0.016666667
2860,PUBLIC PEACE VIOLATION,FALSE POLICE REPORT,4,0.006444444
2890,PUBLIC PEACE VIOLATION,OTHER VIOLATION,4,0.011111111
2870,PUBLIC PEACE VIOLATION,PEEPING TOM,4,0.011111111
3300,PUBLIC PEACE VIOLATION,PUBLIC DEMONSTRATION,4,0.011111111
470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,4,0.016666667
330,ROBBERY,AGGRAVATED,2,0.111111111
326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,2,0.111111111
031A,ROBBERY,ARMED: HANDGUN,2,0.111111111
313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,2,0.111111111
031B,ROBBERY,ARMED: OTHER FIREARM,2,0.111111111
312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,2,0.122222222
331,ROBBERY,ATTEMPT: AGGRAVATED,2,0.155555556
033A,ROBBERY,ATTEMPT: ARMED-HANDGUN,2,0.133333333
334,ROBBERY,ATTEMPT: ARMED-KNIFE/CUT INSTR,2,0.133333333
337,ROBBERY,ATTEMPT: ARMED-OTHER DANG WEAP,2,0.133333333
340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,2,0.066666667
320,ROBBERY,STRONGARM - NO WEAPON,2,0.066666667
325,ROBBERY,VEHICULAR HIJACKING,2,0.066666667
1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,X,0.833333333
5004,SEX OFFENSE,ATT CRIM SEXUAL ABUSE,X,0.833333333
1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,X,0.833333333
1565,SEX OFFENSE,INDECENT SOLICITATION/CHILD,X,1
1585,SEX OFFENSE,OTHER,X,0.833333333
1570,SEX OFFENSE,PUBLIC INDECENCY,X,0.044444444
1544,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,X,1
583,STALKING,CYBERSTALKING,4,0.044444444
580,STALKING,SIMPLE,4,0.022222222
820,THEFT,$500 AND UNDER,4,0.016666667
850,THEFT,ATTEMPT THEFT,4,0.011111111
865,THEFT,DELIVERY CONTAINER THEFT,4,0.011111111
890,THEFT,FROM BUILDING,4,0.022222222
895,THEFT,FROM COIN-OP MACHINE/DEVICE,4,0.016666667
810,THEFT,OVER $500,4,0.022222222
870,THEFT,POCKET-PICKING,4,0.011111111
880,THEFT,PURSE-SNATCHING,4,0.005555556
860,THEFT,RETAIL THEFT,4,0.005555556
1460,WEAPONS VIOLATION,POSS FIREARM/AMMO:NO FOID CARD,4,0.088888889
1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,4,0.088888889
143C,WEAPONS VIOLATION,UNLAWFUL POSS AMMUNITION,4,0.088888889
143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,4,0.088888889
143B,WEAPONS VIOLATION,UNLAWFUL POSS OTHER FIREARM,4,0.111111111
1435,WEAPONS VIOLATION,UNLAWFUL SALE/DELIVERY OF FIREARM AT SCHOOL,4,0.111111111
141A,WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,4,0.111111111
141C,WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,4,0.111111111
141B,WEAPONS VIOLATION,UNLAWFUL USE OTHER FIREARM,4,0.088888889
2900,WEAPONS VIOLATION,UNLAWFUL USE/SALE AIR RIFLE,4,0.088888889
